IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques
IpAddress,8.18.144.44,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.44,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.44,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.44,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.44,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.44,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.44,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.44,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.44,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,8.18.144.44,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
DomainName,avsvmcloud.com,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
DomainName,deftsecurity.com,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
DomainName,digitalcollege.org,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
DomainName,freescanonline.com,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
DomainName,globalnetworkissues.com,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
DomainName,kubecloud.com,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
DomainName,lcomputers.com,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
DomainName,seobundlekit.com,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
DomainName,solartrackingsystem.net,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
DomainName,thedoccloud.com,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
DomainName,virtualwebdata.com,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
DomainName,webcodez.com,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
DomainName,websitetheme.com,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
DomainName,highdatabase.com,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
DomainName,incomeupdate.com,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
DomainName,databasegalore.com,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
DomainName,panhardware.com,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
DomainName,zuzpertech.com,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
