IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups
DomainName,1xbet71.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet54.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet110.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet79.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet84.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet74.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet91.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet87.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet48.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet73.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet67.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet72.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet52.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet102.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet105.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,bet2u.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,betworld2.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,betworld7.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbetbk13.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbetbk6.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,xbet-1.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,betworld9.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,betworld6.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,lottoevents.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,betworld10.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbkbet-1.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,bk-1x-bet.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,betworld1.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,betworld8.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xhov.xyz,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,agentlotto3.ru,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,cz.sportingbull174.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,betworld5.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1x-02.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xiiv.xyz,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,agentlotto.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet8.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,betworld4.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,betworld3.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet17.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,sportingbull.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,thelotter.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet11.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet5.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet43.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet9.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet15.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet16.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet1.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,bosscasino.eu,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet21.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet32.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1x-bet.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet6.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet4.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
